   0.000     -0.0459053  
   1.000     -0.0457907  
   2.000     -0.0458710  
   3.000     -0.0468094  
   4.000     -0.0434830  
   5.000     -0.0484216  
   6.000     -0.0459532  
   7.000     -0.0408932  
   8.000     -0.0548010  
   9.000     -0.0381410  
  10.000     -0.0456432  
  11.000     -0.0572119  
  12.000     -0.0273219  
  13.000     -0.0602075  
  14.000     -0.0466107  
  15.000     -0.0268720  
  16.000     -0.0739092  
  17.000     -0.0245599  
  18.000     -0.0449981  
  19.000     -0.0713614  
  20.000     -0.0078128  
  21.000     -0.0721030  
  22.000     -0.0478430  
  23.000     -0.0148758  
  24.000     -0.0874313  
  25.000     -0.0164165  
  26.000     -0.0442103  
  27.000     -0.0777548  
  28.000     -0.0013290  
  29.000     -0.0743055  
  30.000     -0.0485286  
  31.000     -0.0150105  
  32.000     -0.0844546  
  33.000     -0.0205040  
  34.000     -0.0439281  
  35.000     -0.0710702  
  36.000     -0.0135748  
  37.000     -0.0651441  
  38.000     -0.0478687  
  39.000     -0.0273082  
  40.000     -0.0673706  
  41.000     -0.0331962  
  42.000     -0.0446614  
  43.000     -0.0566853  
  44.000     -0.0338967  
  45.000     -0.0521996  
  46.000     -0.0465255  
  47.000     -0.0413967  
  48.000     -0.0500306  
  49.000     -0.0440412  
  50.000     -0.0457256  
  51.000     -0.0465430  
  52.000     -0.0456228  
  53.000     -0.0459098  
